model,manuscript,seed,decode_tok_s,detected,error,findings_matched,flagged_distractors,fp_on_clean,known_artifact_findings,missed_ids,n_findings,n_seeded,num_ctx,num_predict,numeric_correct,numeric_detected,numeric_total,output_tokens,peak_vram_mib,precision_prefilter,prefill_tok_s,prompt_tokens,recall,think,thinking_chars,ttft_s,unexplained_findings,variant,wall_s
gpt-oss:20b,MS-A,42,49.8,0,empty response,0,0,,0,"V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",0,40,65536,24576,0,0,7,24576,15032,,3200.8,11527,0.0,high,106490,8.99,0,a,528.91
gpt-oss:20b,MS-A,42,50.0,0,empty response,0,0,,0,"V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",0,40,65536,24576,0,0,7,24576,15032,,3242.8,11527,0.0,medium,117958,8.75,0,a,526.9
gpt-oss:20b,MS-B,42,53.6,,,,0,0,0,,0,,65536,24576,,,,1741,15032,,3216.1,11577,,low,8007,9.13,,a,43.65
gpt-oss:20b,MS-B,42,49.9,,empty response,,0,0,0,,0,,65536,24576,,,,24576,15032,,3217.7,11577,,high,122847,3.75,,a,522.26
gpt-oss:20b,MS-B,42,51.0,,,,2,5,0,,5,,65536,24576,,,,17249,15032,,3259.4,11577,,medium,66674,3.69,,a,360.39
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,MS-A,42,37.6,3,,4,0,,0,"V01,V04,V05,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",4,40,32768,16384,0,2,7,286,33547,1.0,1304.5,11571,0.075,,0,35.0,0,a,42.71
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,MS-A,42,36.7,2,salvaged,3,0,,0,"V02,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",3,40,65536,24576,0,0,7,259,36743,1.0,1283.2,11761,0.05,,0,40.64,0,b,47.79
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,MS-B,42,33.9,,,,0,1,0,,1,,32768,16384,,,,11297,33547,,2633.6,11625,,,0,4.53,,a,338.43
hf.co/ggml-org/GLM-4.7-Flash-GGUF:Q8_0,MS-B,42,36.8,,salvaged,,0,1,0,,1,,65536,24576,,,,216,36743,,2627.9,11815,,,0,4.58,,b,10.56
llama4:scout,MS-A,42,13.9,0,,0,0,,0,"V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",0,40,65536,24576,0,0,7,95,84597,,361.7,11240,0.0,,0,58.75,0,a,65.78
llama4:scout,MS-A,42,14.4,0,,0,0,,0,"V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",0,40,65536,24576,0,0,7,95,84597,,363.7,11428,0.0,,0,51.54,0,b,58.39
llama4:scout,MS-B,42,14.0,,,,0,0,0,,0,,65536,24576,,,,62,84597,,683.8,11285,,,0,16.71,,a,21.27
llama4:scout,MS-B,42,14.4,,,,0,0,0,,0,,65536,24576,,,,60,84597,,686.9,11473,,,0,16.84,,b,21.14
magistral,MS-A,42,11.3,4,salvaged,360,0,,0,"V01,V02,V04,V05,V06,V07,V10,V11,V12,V13,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40",361,40,65536,24576,0,0,7,24576,22170,0.997,965.4,11865,0.1,,0,26.27,1,a,2201.23
magistral,MS-A,42,12.5,19,,19,2,,1,"V04,V05,V07,V08,V09,V12,V15,V16,V20,V21,V22,V25,V26,V27,V30,V31,V32,V34,V36,V38,V39",29,40,65536,24576,0,2,7,1699,22170,0.69,948.4,12055,0.475,,0,19.87,9,b,156.47
magistral,MS-B,42,11.3,,salvaged,,0,211,0,,211,,65536,24576,,,,24576,22170,,2214.3,11969,,,0,5.5,,a,2181.78
magistral,MS-B,42,12.5,,,,3,11,2,,13,,65536,24576,,,,1024,22170,,2222.1,12159,,,0,5.59,,b,87.71
